task,team,user,score
KIS Visual 11,vitrivr,vitrivr VI,88
KIS Visual 11,vitrivr,vitrivr IV,87
KIS Visual 11,siret,siret V,85
KIS Visual 11,siret,siret I,69
KIS Visual 11,vitrivr,vitrivr II,68
KIS Visual 11,vitrivr,vitrivr VIII,57
KIS Visual 11,vitrivr,vitrivr VII,50
KIS Textual 11,siret,siret I,97
KIS Textual 11,siret,siret III,97
KIS Textual 11,siret,siret VII,97
KIS Textual 11,siret,siret VI,87
KIS Textual 11,siret,siret II,97
KIS Textual 11,siret,siret IV,97
KIS Textual 11,siret,siret V,97
KIS Textual 11,vitrivr,vitrivr I,96
KIS Textual 11,vitrivr,vitrivr V,92
KIS Textual 11,vitrivr,vitrivr II,91
KIS Textual 11,vitrivr,vitrivr VIII,85
KIS Textual 11,vitrivr,vitrivr III,75
KIS Textual 11,vitrivr,vitrivr VII,66
KIS Textual 11,vitrivr,vitrivr VI,61
KIS Textual 11,vitrivr,vitrivr IV,57
KIS Visual 12,vitrivr,vitrivr V,53
KIS Visual 12,siret,siret V,64
KIS Visual 12,vitrivr,vitrivr III,0
KIS Textual 12,vitrivr,vitrivr I,29
KIS Textual 12,vitrivr,vitrivr VIII,29
KIS Textual 12,vitrivr,vitrivr VI,71
KIS Textual 12,siret,siret VI,69
KIS Textual 12,siret,siret II,85
KIS Textual 12,siret,siret I,0
KIS Textual 12,siret,siret V,0
KIS Textual 12,vitrivr,vitrivr IV,69
KIS Textual 12,vitrivr,vitrivr III,81
KIS Textual 12,vitrivr,vitrivr II,46
KIS Textual 12,vitrivr,vitrivr V,73
KIS Textual 12,siret,siret III,35
KIS Textual 12,siret,siret VII,53
KIS Visual 13,siret,siret II,97
KIS Visual 13,siret,siret V,96
KIS Visual 13,vitrivr,vitrivr I,81
KIS Visual 13,siret,siret IV,93
KIS Visual 13,siret,siret III,92
KIS Visual 13,vitrivr,vitrivr VII,80
KIS Visual 13,siret,siret I,90
KIS Visual 13,vitrivr,vitrivr VIII,88
KIS Visual 13,siret,siret VII,71
KIS Visual 13,vitrivr,vitrivr V,87
KIS Visual 13,vitrivr,vitrivr VI,56
KIS Visual 13,vitrivr,vitrivr IV,83
KIS Visual 13,siret,siret VI,70
KIS Visual 13,vitrivr,vitrivr III,74
KIS Visual 13,vitrivr,vitrivr II,67
KIS Textual 13,vitrivr,vitrivr VI,65
KIS Textual 13,siret,siret I,67
KIS Textual 13,siret,siret IV,45
KIS Textual 13,siret,siret II,60
KIS Textual 13,vitrivr,vitrivr V,0
KIS Textual 13,siret,siret VI,0
KIS Textual 13,siret,siret VII,56
KIS Visual 15,siret,siret VI,94
KIS Visual 15,siret,siret IV,93
KIS Visual 15,siret,siret III,91
KIS Visual 15,siret,siret V,85
KIS Visual 15,siret,siret I,79
KIS Visual 15,vitrivr,vitrivr III,71
KIS Visual 15,vitrivr,vitrivr II,66
KIS Visual 15,siret,siret II,65
KIS Visual 15,siret,siret VII,0
KIS Textual 15,vitrivr,vitrivr VI,0
KIS Textual 15,siret,siret V,79
KIS Textual 15,siret,siret VI,48
KIS Textual 15,siret,siret I,0
KIS Textual 15,siret,siret VII,83
KIS Textual 15,siret,siret II,56
KIS Textual 15,siret,siret IV,63
KIS Textual 15,vitrivr,vitrivr III,46
KIS Textual 15,siret,siret III,56
KIS Textual 15,vitrivr,vitrivr II,56
KIS Visual 17,siret,siret VII,97
KIS Visual 17,siret,siret V,96
KIS Visual 17,siret,siret IV,82
KIS Visual 17,siret,siret III,95
KIS Visual 17,siret,siret II,79
KIS Visual 17,vitrivr,vitrivr II,65
KIS Visual 17,siret,siret I,92
KIS Visual 17,siret,siret VI,91
KIS Visual 17,vitrivr,vitrivr I,75
KIS Visual 17,vitrivr,vitrivr III,82
KIS Visual 17,vitrivr,vitrivr V,66
KIS Visual 17,vitrivr,vitrivr VII,79
KIS Visual 17,vitrivr,vitrivr IV,71
KIS Visual 17,vitrivr,vitrivr VI,65
KIS Visual 17,vitrivr,vitrivr VIII,0
KIS Textual 17,siret,siret I,89
KIS Textual 17,vitrivr,vitrivr VIII,84
KIS Textual 17,siret,siret VII,72
KIS Textual 17,vitrivr,vitrivr I,57
KIS Textual 17,siret,siret V,0
KIS Textual 17,siret,siret VI,0
KIS Textual 17,vitrivr,vitrivr II,51
KIS Visual 18,siret,siret IV,79
KIS Visual 18,siret,siret V,60
KIS Visual 18,siret,siret III,0
KIS Visual 18,siret,siret I,59
KIS Visual 18,siret,siret VII,53
KIS Visual 18,siret,siret II,0
KIS Visual 18,vitrivr,vitrivr II,0
KIS Textual 18,siret,siret III,94
KIS Textual 18,vitrivr,vitrivr VI,93
KIS Textual 18,siret,siret VII,91
KIS Textual 18,siret,siret VI,88
KIS Textual 18,siret,siret II,81
KIS Textual 18,vitrivr,vitrivr II,68
KIS Textual 18,vitrivr,vitrivr IV,77
KIS Textual 18,siret,siret I,59
KIS Textual 18,siret,siret IV,56
KIS Textual 18,vitrivr,vitrivr I,54
KIS Visual 19,vitrivr,vitrivr VI,96
KIS Visual 19,vitrivr,vitrivr VII,95
KIS Visual 19,vitrivr,vitrivr I,94
KIS Visual 19,vitrivr,vitrivr III,62
KIS Visual 19,vitrivr,vitrivr VIII,91
KIS Visual 19,vitrivr,vitrivr V,91
KIS Visual 19,vitrivr,vitrivr II,85
KIS Visual 19,siret,siret V,61
KIS Visual 19,siret,siret VII,85
KIS Visual 19,siret,siret III,79
KIS Visual 19,siret,siret VI,76
KIS Visual 19,vitrivr,vitrivr IV,28
KIS Visual 19,siret,siret IV,54
KIS Visual 19,siret,siret II,63
KIS Textual 19,siret,siret VI,69
KIS Textual 19,siret,siret II,0
KIS Textual 19,siret,siret VII,61
KIS Visual 20,siret,siret IV,94
KIS Visual 20,siret,siret I,93
KIS Visual 20,siret,siret VII,93
KIS Visual 20,siret,siret VI,92
KIS Visual 20,siret,siret III,91
KIS Visual 20,siret,siret II,56
KIS Visual 20,vitrivr,vitrivr V,77
KIS Visual 20,vitrivr,vitrivr VIII,73
KIS Visual 20,vitrivr,vitrivr IV,86
KIS Visual 20,siret,siret V,86
KIS Visual 20,vitrivr,vitrivr I,69
KIS Visual 20,vitrivr,vitrivr III,77
KIS Visual 20,vitrivr,vitrivr II,56
KIS Visual 20,vitrivr,vitrivr VII,55
KIS Textual 20,siret,siret III,93
KIS Textual 20,vitrivr,vitrivr VI,87
KIS Textual 20,vitrivr,vitrivr IV,84
KIS Textual 20,vitrivr,vitrivr III,69
KIS Textual 20,siret,siret II,69
KIS Textual 20,vitrivr,vitrivr VIII,65
KIS Textual 20,vitrivr,vitrivr II,63
KIS Textual 20,vitrivr,vitrivr VII,63
KIS Textual 20,siret,siret IV,0
KIS Textual 20,siret,siret VI,54
KIS Textual 20,siret,siret VII,0
KIS Visual 21,siret,siret III,95
KIS Visual 21,siret,siret I,0
KIS Visual 21,siret,siret IV,54
KIS Visual 21,siret,siret II,53
KIS Textual 21,siret,siret VI,96
KIS Textual 21,siret,siret II,93
KIS Textual 21,siret,siret IV,91
KIS Textual 21,vitrivr,vitrivr V,91
KIS Textual 21,vitrivr,vitrivr IV,91
KIS Textual 21,siret,siret III,90
KIS Textual 21,siret,siret I,90
KIS Textual 21,siret,siret VII,87
KIS Textual 21,vitrivr,vitrivr I,82
KIS Textual 21,vitrivr,vitrivr VII,78
KIS Textual 21,siret,siret V,72
KIS Textual 21,vitrivr,vitrivr II,71
KIS Textual 21,vitrivr,vitrivr VI,69
KIS Visual 22,siret,siret VII,88
KIS Visual 22,siret,siret II,69
KIS Visual 22,siret,siret I,69
KIS Visual 22,siret,siret IV,55
KIS Visual 22,siret,siret VI,53
KIS Textual 22,vitrivr,vitrivr VI,0
KIS Textual 22,siret,siret III,66
KIS Textual 22,siret,siret II,0
KIS Textual 22,siret,siret VII,0
KIS Textual 22,siret,siret IV,49
KIS Textual 22,siret,siret VI,0
KIS Textual 22,vitrivr,vitrivr II,0
KIS Textual 22,vitrivr,vitrivr I,0
KIS Visual 23,vitrivr,vitrivr II,97
KIS Visual 23,vitrivr,vitrivr IV,96
KIS Visual 23,vitrivr,vitrivr I,95
KIS Visual 23,vitrivr,vitrivr VI,95
KIS Visual 23,vitrivr,vitrivr V,95
KIS Visual 23,vitrivr,vitrivr VII,92
KIS Visual 23,vitrivr,vitrivr III,91
KIS Visual 23,vitrivr,vitrivr VIII,88
KIS Visual 23,siret,siret VII,82
KIS Visual 23,siret,siret II,70
KIS Visual 23,siret,siret III,70
KIS Textual 23,vitrivr,vitrivr VI,0
KIS Textual 23,vitrivr,vitrivr I,0
KIS Textual 23,siret,siret III,0
